iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
1,0.0,least_risky,0.8193863319386332,0.5255474452554745,0.2706766917293233,0.051094890510948905,7169,0.20267819779606638,331,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
2,0.0,least_risky,0.8133333333333334,0.6265822784810127,0.25384615384615383,0.25316455696202533,9372,0.19131455399061034,297,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
3,0.0,least_risky,0.8400520156046815,0.6,0.2733990147783251,0.2,11534,0.1859719091382001,338,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
4,0.0,least_risky,0.829072315558802,0.6045197740112994,0.21188118811881188,0.20903954802259886,13688,0.18271478667445937,346,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
5,0.0,least_risky,0.8249921309411394,0.5931372549019608,0.2037037037037037,0.18627450980392157,15882,0.17844100239264576,306,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
6,0.0,least_risky,0.8337022689540675,0.6108374384236454,0.19195046439628483,0.22167487684729065,18066,0.1767408391453559,316,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
7,0.0,least_risky,0.8388133498145859,0.5958333333333333,0.20487106017191978,0.19166666666666668,20221,0.17471935116957618,345,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
8,0.0,least_risky,0.8445387536296627,0.6044444444444445,0.18304172274562583,0.2088888888888889,22384,0.1740975696926376,337,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
9,0.0,least_risky,0.8296703296703297,0.5906735751295337,0.13073394495412843,0.18134715025906736,24567,0.17364757601660766,317,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
10,0.0,least_risky,0.8356087525715354,0.5648535564853556,0.14835164835164835,0.1297071129707113,26734,0.17210294007630733,333,0,0,0,0.0,0.0,0.0,0.0,2,default,rf
0,0.0,least_risky,0.808,0.5245901639344263,0.32323232323232326,0.04918032786885246,5000,0.211,0,0,0,0,0.0,0.0,0.0,0.0,3,default,rf
1,0.0,least_risky,0.827513966480447,0.5909090909090909,0.2878228782287823,0.18181818181818182,7159,0.19807235647436794,341,0,0,0,0.0,0.0,0.0,0.0,3,default,rf
