iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
2,0.0,least_risky,0.7928607340372046,0.5316455696202531,0.10071942446043165,0.06329113924050633,9943,0.22206577491702706,139,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
3,0.0,least_risky,0.7822061191626409,0.609375,0.07027027027027027,0.21875,12416,0.21601159793814434,150,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
4,0.0,least_risky,0.7904633982538617,0.5,0.060897435897435896,0.0,14887,0.21360918922549876,152,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
5,0.0,least_risky,0.7917146144994246,0.5176470588235295,0.06052269601100413,0.03529411764705882,17379,0.21491455204557225,131,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
6,0.0,least_risky,0.778420523138833,0.5045045045045045,0.06349206349206349,0.009009009009009009,19877,0.2132615585852996,125,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
7,0.0,least_risky,0.7837354781054513,0.4909090909090909,0.055900621118012424,-0.01818181818181818,22379,0.21323562268197865,121,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
8,0.0,least_risky,0.7864897466827503,0.5423728813559322,0.05970149253731343,0.0847457627118644,24866,0.21450977237995655,136,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
9,0.0,least_risky,0.7841884243198831,0.5185185185185185,0.047217537942664416,0.037037037037037035,27381,0.21671962309630766,108,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
10,0.0,least_risky,0.7866465863453815,0.53125,0.05300077942322681,0.0625,29876,0.21565805328691925,128,0,0,0,0.0,0.0,0.0,0.0,4,ppdai_imb77,rf
0,0.01,least_risky,0.795,0.625,0.11627906976744186,0.25,5000,0.2248,0,0,0,0,0.0,0.0,0.0,0.0,0,ppdai_imb77,rf
1,0.01,least_risky,0.7771124417831005,0.5306122448979592,0.07692307692307693,0.061224489795918366,7511,0.2238050858740514,114,2,1,1,0.5,0.5087719298245614,1.0,0.51,0,ppdai_imb77,rf
2,0.01,least_risky,0.7930174563591023,0.5064935064935064,0.09375,0.012987012987012988,10025,0.21825436408977555,111,2,0,2,0.0,0.5855855855855856,0.0,0.51,0,ppdai_imb77,rf
3,0.01,least_risky,0.7843450479233227,0.5094339622641509,0.0996309963099631,0.018867924528301886,12518,0.21672791180699794,132,2,1,1,0.5,0.5378787878787878,1.0,0.51,0,ppdai_imb77,rf
4,0.01,least_risky,0.7883527454242929,0.5052631578947369,0.07535321821036106,0.010526315789473684,15021,0.21696291858065375,122,2,1,1,0.5,0.639344262295082,1.0,0.51,0,ppdai_imb77,rf
5,0.01,least_risky,0.7890379674564659,0.48672566371681414,0.07472826086956522,-0.02654867256637168,17513,0.217152972077885,133,2,0,2,0.0,0.46616541353383456,0.0,0.51,0,ppdai_imb77,rf
6,0.01,least_risky,0.7930604093859212,0.5847457627118644,0.0812720848056537,0.1694915254237288,20028,0.21649690433393248,110,2,2,0,1.0,0.45454545454545453,2.0,0.51,0,ppdai_imb77,rf
7,0.01,least_risky,0.782338584424229,0.5112781954887218,0.06910569105691057,0.022556390977443608,22534,0.2189580189935209,119,2,0,2,0.0,0.5882352941176471,0.0,0.51,0,ppdai_imb77,rf
8,0.01,least_risky,0.7869408945686901,0.5328467153284672,0.06784386617100371,0.06569343065693431,25037,0.217238487039182,122,2,2,0,1.0,0.5245901639344263,2.0,0.51,0,ppdai_imb77,rf
9,0.01,least_risky,0.7904104613149292,0.5,0.06672443674176777,0.0,27528,0.21712438244696308,134,2,1,1,0.5,0.5522388059701493,1.0,0.51,0,ppdai_imb77,rf
10,0.01,least_risky,0.7885095753538718,0.5449101796407185,0.07081712062256809,0.08982035928143713,30021,0.2169814463209087,132,2,2,0,1.0,0.6590909090909091,2.0,0.51,0,ppdai_imb77,rf
0,0.01,least_risky,0.764,0.6,0.06224066390041494,0.2,5000,0.2366,0,0,0,0,0.0,0.0,0.0,0.0,1,ppdai_imb77,rf
1,0.01,least_risky,0.7700463883366467,0.5098039215686274,0.07471264367816093,0.0196078431372549,7542,0.22951471758154335,82,1,0,1,0.0,0.4268292682926829,0.0,0.51,1,ppdai_imb77,rf
2,0.01,least_risky,0.775682382133995,0.6176470588235294,0.08974358974358974,0.23529411764705882,10074,0.22979948381973397,92,1,1,0,1.0,0.5217391304347826,1.0,0.51,1,ppdai_imb77,rf
3,0.01,least_risky,0.7736298649722002,0.5384615384615384,0.07291666666666667,0.07692307692307693,12588,0.22720050842071815,111,2,1,1,0.5,0.5585585585585585,1.0,0.51,1,ppdai_imb77,rf
4,0.01,least_risky,0.7753886867350315,0.573170731707317,0.06801736613603473,0.14634146341463414,15113,0.2242440283199894,99,1,0,1,0.0,0.5858585858585859,0.0,0.51,1,ppdai_imb77,rf
5,0.01,least_risky,0.7703430677629713,0.4690265486725664,0.0660024906600249,-0.061946902654867256,17631,0.2216550394192048,107,2,1,1,0.5,0.6074766355140186,1.0,0.51,1,ppdai_imb77,rf
