iteration,exploration_rate,ranking_strategy,accuracy,precision,recall,kickout,training_set_size,training_default_rate,n_rejects_total,n_explored,n_explored_defaulted,n_explored_repaid,exploration_default_rate,reject_default_rate,exploration_cost,explored_risk_mean,run,dataset,model
10,0.0,least_risky,0.7817678047357772,0.5776081424936387,0.018864788498296352,0.15521628498727735,274291,0.2176119522696698,454,0,0,0,0.0,0.0,0.0,0.0,0,lendingclub_imb77,gbdt
0,0.0,least_risky,0.7815,0.5657894736842105,0.08046407185628743,0.13157894736842105,60000,0.22658333333333333,0,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
1,0.0,least_risky,0.777572737897521,0.5443786982248521,0.050466264399341744,0.08875739644970414,81285,0.2231900104570339,667,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
2,0.0,least_risky,0.7816002338953318,0.6011560693641619,0.04569420035149385,0.2023121387283237,102610,0.21991034012279506,627,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
3,0.0,least_risky,0.7841880341880342,0.5860058309037901,0.03713968957871397,0.17201166180758018,124017,0.21962311618568423,545,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
4,0.0,least_risky,0.7817656765676567,0.5777777777777777,0.03247970018738289,0.15555555555555556,145437,0.2187063814572633,532,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
5,0.0,least_risky,0.7837198154473006,0.5804597701149425,0.027766323024054983,0.16091954022988506,166890,0.218071783809695,499,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
6,0.0,least_risky,0.7815378082119064,0.6242038216560509,0.02358887952822241,0.2484076433121019,188382,0.21773842511492605,460,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
7,0.0,least_risky,0.7831110052405907,0.5846560846560847,0.02410295561129894,0.1693121693121693,209899,0.2176713562237076,435,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
8,0.0,least_risky,0.7858948596616322,0.5690072639225182,0.023580172586795102,0.13801452784503632,231405,0.21755796115036408,446,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
9,0.0,least_risky,0.7840702364945029,0.5946666666666667,0.02028932763169866,0.18933333333333333,252858,0.21750943217141636,499,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
10,0.0,least_risky,0.7824185436256287,0.6,0.017982017982017984,0.2,274377,0.21760205848157826,433,0,0,0,0.0,0.0,0.0,0.0,1,lendingclub_imb77,gbdt
0,0.0,least_risky,0.7783333333333333,0.5588235294117647,0.06342729970326409,0.11764705882352941,60000,0.2216,0,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
1,0.0,least_risky,0.7778255528255529,0.5548172757475083,0.04575342465753424,0.10963455149501661,81398,0.2194402810879874,554,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
2,0.0,least_risky,0.7815097457833082,0.580952380952381,0.04025516937967444,0.1619047619047619,102863,0.2190778025140235,487,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
3,0.0,least_risky,0.7846135275419467,0.5718562874251497,0.03536382151453434,0.1437125748502994,124265,0.21817084456604838,550,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
4,0.0,least_risky,0.7841111873713109,0.5250737463126843,0.028218135700697526,0.05014749262536873,145697,0.21760914775184115,520,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
5,0.0,least_risky,0.782102680708473,0.5884244372990354,0.024938675388389207,0.17684887459807075,167119,0.2170010591255333,530,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
6,0.0,least_risky,0.7849436713055004,0.5661971830985916,0.02463235294117647,0.1323943661971831,188625,0.21671570576540755,446,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
7,0.0,least_risky,0.7832107930616032,0.6028169014084507,0.023301393728222996,0.2056338028169014,210131,0.2172501915471777,446,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
8,0.0,least_risky,0.782462275759342,0.5703125,0.02161681966242227,0.140625,231614,0.2173875499753901,469,0,0,0,0.0,0.0,0.0,0.0,2,lendingclub_imb77,gbdt
